19	20	8	17	20	3	3	14	23	13	13	18	30	26	31	3	24	9	22	23	15	6	11	31	29	21	18	17	4	11	22	30	1	29	32	34	9	8	35	21	19	35	9	23	21	17	10	25	10	6	20	28	31	4	27	24	9	13	22	30	23	23	25	3	5	9	6	3	32	22	18	23	20	30	29	34	2	18	32	20	24	24	30	30	19	20	9	35	25	8	11	29	22	26	26	30	33	3	17	35
11	5	35	11	17	18	27	34	22	27	14	16	35	32	22	15	30	8	29	6	30	3	16	32	16	4	27	33	23	30	16	15	12	28	2	2	8	3	23	1	30	33	28	6	34	23	33	15	19	17	30	1	29	11	4	12	2	17	5	1	15	34	1	10	10	30	3	2	35	5	6	9	18	7	32	21	14	17	4	35	19	12	34	4	4	34	22	10	28	31	1	8	31	22	6	5	28	11	9	30
35	28	9	33	3	22	18	1	24	16	28	30	27	35	15	2	4	19	23	4	18	1	21	18	11	13	26	24	34	22	8	20	26	22	33	28	32	26	2	30	14	11	8	21	31	19	3	28	31	9	7	13	26	17	10	34	35	35	13	12	27	28	27	27	19	5	34	34	24	11	21	8	13	15	18	35	8	20	33	28	4	4	21	20	21	32	11	16	27	4	4	31	26	12	35	15	11	20	11	26
23	29	23	13	7	29	10	30	19	19	33	24	17	29	4	19	32	21	6	13	25	7	17	15	18	34	15	26	32	19	30	27	20	24	9	11	26	22	27	33	25	31	17	35	22	4	34	30	5	11	23	5	35	15	26	1	12	20	27	9	24	3	8	23	24	16	25	15	34	14	35	1	4	8	10	10	20	28	34	5	12	21	12	35	20	27	7	3	26	5	18	30	11	27	23	26	17	26	5	31
21	22	5	2	26	15	20	35	12	29	35	27	5	19	28	35	35	33	4	15	1	21	25	1	14	28	4	25	14	2	27	23	23	19	13	24	33	33	6	20	32	26	6	14	10	30	7	8	30	26	14	30	27	30	11	3	7	25	16	25	21	12	31	32	35	17	18	35	23	16	29	5	31	24	1	9	29	12	12	2	17	27	27	12	30	26	16	13	4	29	26	27	16	1	18	20	18	14	24	32
4	8	26	15	25	14	1	2	7	3	20	23	22	34	6	21	7	31	27	16	29	25	24	6	19	29	8	28	3	35	6	24	15	26	22	7	22	25	9	11	28	10	15	28	19	8	15	14	8	29	11	2	15	26	31	33	22	16	14	17	31	10	16	19	2	8	21	6	7	32	10	31	16	14	14	3	13	22	10	8	29	33	32	31	26	13	28	4	7	26	23	1	23	19	12	28	31	24	32	27
2	24	14	23	22	32	21	5	14	5	31	26	12	22	21	11	12	23	14	7	11	17	34	7	32	17	34	8	11	28	12	14	24	1	24	27	34	35	26	8	26	19	30	27	4	3	9	23	27	3	26	7	25	14	25	27	10	22	23	18	26	30	9	35	9	28	2	25	11	1	17	29	35	12	12	18	15	8	29	32	2	16	2	9	32	9	15	29	2	11	27	24	20	29	5	1	15	1	16	5
17	15	20	32	10	25	4	8	29	18	19	19	10	31	7	31	1	10	30	25	3	35	5	16	35	2	20	4	31	25	24	35	17	8	10	31	24	5	15	7	18	25	19	26	30	29	14	12	33	33	29	17	19	9	19	13	16	8	24	22	2	1	33	13	17	29	20	10	17	26	34	24	23	23	34	17	25	13	23	1	18	28	17	19	25	7	14	18	12	18	9	22	3	21	17	22	16	30	13	28
28	27	34	21	9	28	29	28	3	21	12	2	32	33	26	9	28	29	10	29	24	30	23	35	12	3	21	32	2	29	32	32	21	34	29	18	3	19	12	28	33	3	13	4	11	34	31	22	13	8	35	23	33	16	18	20	33	30	11	11	6	18	6	29	20	15	32	8	12	35	27	34	32	3	21	24	5	27	2	17	23	32	23	22	12	19	21	12	9	23	7	15	8	20	3	25	7	29	4	16
22	34	11	31	5	35	33	6	28	1	32	1	25	30	12	8	16	24	31	21	5	31	8	28	30	22	14	23	29	4	15	34	2	11	18	22	19	17	8	2	23	12	14	22	12	28	1	35	28	32	12	26	7	24	14	8	14	27	7	23	17	21	3	28	6	34	7	4	26	27	15	7	19	1	9	20	4	21	17	3	21	15	6	28	22	4	23	32	23	22	29	33	7	34	21	16	22	8	2	20
29	33	25	14	8	20	23	3	16	28	27	3	13	12	3	33	6	26	17	11	19	33	1	20	28	33	28	14	26	18	18	26	6	21	4	8	20	13	3	31	34	9	1	19	24	24	24	3	11	2	22	22	34	5	17	6	21	24	12	10	9	5	2	4	21	2	28	31	9	12	20	15	26	13	25	13	24	9	22	12	14	31	5	18	33	33	1	30	29	14	20	35	14	15	9	23	3	6	8	18
12	2	21	28	34	6	8	10	5	12	17	33	2	23	10	32	19	5	3	17	33	28	35	5	5	6	9	3	33	15	2	29	19	12	3	10	31	31	33	3	2	30	32	20	3	2	20	31	4	13	5	27	1	21	20	23	18	15	8	27	16	2	14	30	34	31	35	11	20	24	14	30	2	32	11	27	31	14	28	30	33	13	31	32	23	3	20	17	31	17	32	11	5	3	29	17	29	4	22	2
24	17	24	19	13	2	17	9	2	4	34	28	29	9	16	5	10	2	5	1	13	2	30	27	20	23	11	16	9	3	10	19	34	3	21	5	27	20	4	29	24	6	20	32	29	31	8	26	25	24	32	10	16	33	7	5	13	5	34	4	30	33	17	31	18	10	29	7	25	10	11	20	29	34	15	26	18	33	21	15	22	18	1	34	29	8	35	19	22	7	25	25	29	25	8	4	1	21	31	25
3	35	12	3	2	21	14	31	8	15	6	10	18	6	17	18	8	35	13	27	22	4	7	17	15	16	12	18	35	8	14	31	5	32	15	29	35	29	24	17	35	15	27	17	2	25	32	17	21	28	13	31	30	29	12	10	29	12	35	16	28	19	4	24	14	22	23	33	33	3	24	33	34	10	4	5	19	32	18	33	13	26	28	8	11	11	25	15	8	1	3	23	12	31	16	8	21	22	3	6
34	30	4	5	1	31	35	17	32	6	29	6	1	4	33	7	3	12	9	30	4	9	28	30	21	10	35	34	5	12	7	10	22	6	6	1	10	9	16	35	6	2	11	31	6	16	21	13	34	23	18	21	2	6	2	28	11	3	6	34	13	26	13	33	31	26	15	26	1	30	33	19	9	4	5	8	10	19	26	6	25	23	20	21	10	28	32	34	32	10	22	13	34	28	27	14	23	2	1	9
30	1	19	9	12	34	5	4	11	7	22	12	3	18	9	29	25	6	24	14	31	8	29	23	8	11	24	31	7	1	31	28	29	15	26	14	29	11	25	32	11	17	25	7	25	35	18	7	20	12	17	15	3	23	9	35	30	29	28	24	33	31	11	22	1	35	4	5	30	15	4	21	3	19	27	7	1	29	19	31	30	35	11	5	34	5	27	33	24	19	12	2	27	35	30	10	6	16	7	17
